Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
513,Amrita Roy,KRISHNANAGAR,BJP,0,Graduate Professional,,
514,Amritpal Singh,KHADOOR SAHIB,IND,12,10th Pass,"Rs 18,38,440  ~ 18 Lacs+",Rs 0  ~
515,Amritpal Singh,LUDHIANA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1,8th Pass,"Rs 1,04,24,717  ~ 1 Crore+",Rs 0  ~
516,Amruth Kumar Salkapuram,KURNOOL,Liberation Congress Party,0,Post Graduate,,
517,Amruth Raja,CHITRADURGA (SC),IND,0,Post Graduate,"Rs 12,65,498  ~ 12 Lacs+",Rs 0  ~
518,Amrutlal Makwana,MAHESANA,BSP,0,12th Pass,"Rs 64,30,490  ~ 64 Lacs+",Rs 0  ~
519,Amudini,CHENNAI NORTH,Naam Tamilar Katchi,0,Graduate Professional,,
520,Amzad Ali,BARPETA,Republican Party of India (Athawale),0,8th Pass,"Rs 3,17,627  ~ 3 Lacs+","Rs 1,07,000  ~ 1 Lacs+"
521,Anand Bhadauriya,DHAURAHRA,SP,4,Post Graduate,"Rs 9,97,23,807  ~ 9 Crore+","Rs 9,60,867  ~ 9 Lacs+"
522,Anand Chandulal Jasti,NARSAPURAM,IND,0,Doctorate,,
523,Anand Gilhare,JANJGIR-CHAMPA (SC),IND,0,12th Pass,"Rs 1,08,53,000  ~ 1 Crore+",Rs 0  ~
524,Anand Kumar,GHAZIABAD,Rashtra Nirman Party,0,Doctorate,"Rs 2,32,69,912  ~ 2 Crore+",Rs 0  ~
525,Anand Kumar,BAHRAICH (SC),BJP,0,Doctorate,,
526,Anand Kumar,SITAMARHI,IND,0,Graduate Professional,"Rs 1,26,49,049  ~ 1 Crore+",Rs 0  ~
527,Anand Kumar,BHIWANI-MAHENDRAGARH,Bharatheeya Jawan Kisan Party,0,10th Pass,"Rs 44,19,101  ~ 44 Lacs+",Rs 0  ~
528,Anand Kumar A,KRISHNAGIRI,IND,0,10th Pass,,
529,Anand Kumar Gautam,SANT KABIR NAGAR,IND,0,Graduate,"Rs 6,93,000  ~ 6 Lacs+",Rs 0  ~
530,Anand Kumar Parihar,PALI,IND,0,Graduate,"Rs 1,03,28,032  ~ 1 Crore+","Rs 1,00,000  ~ 1 Lacs+"
531,Anand Kumar Verma,NAWADA,Bharat Jan Jagran Dal,0,Post Graduate,,
532,Anand Kumar Yadav Alias Anand Kumar Fauji,GORAKHPUR,Bharatheeya Jawan Kisan Party,0,Post Graduate,"Rs 52,52,000  ~ 52 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
533,Anand Mishra,BUXAR,IND,0,Post Graduate,"Rs 2,50,44,394  ~ 2 Crore+",Rs 0  ~
534,Anand Mukhi,JAMSHEDPUR,IND,0,10th Pass,,
535,Anand Rajaram Dhule,HINGOLI,IND,0,12th Pass,"Rs 5,96,443  ~ 5 Lacs+","Rs 60,000  ~ 60 Thou+"
536,Anand Ramesh Thorwade,SATARA,BSP,0,Graduate,"Rs 4,81,53,000  ~ 4 Crore+","Rs 1,24,17,000  ~ 1 Crore+"
537,Anand Ramnath Arlekar,ANDAMAN AND NICOBAR ISLANDS,IND,0,10th Pass,,
538,Anand Selvaraj,TIRUCHIRAPPALLI,IND,1,Post Graduate,"Rs 12,10,000  ~ 12 Lacs+",Rs 0  ~
539,Anand Shankar Nalage,SANGLI,Baliraja Party,2,12th Pass,"Rs 2,26,260  ~ 2 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
540,Anand Sharma,KANGRA,INC,0,Graduate Professional,,
541,Anand Sinnur,GULBARGA (SC),IND,1,Graduate,"Rs 5,50,000  ~ 5 Lacs+",Rs 0  ~
542,Anand Urawan,BILASPUR,IND,0,10th Pass,"Rs 72,29,000  ~ 72 Lacs+",Rs 0  ~
543,Ananda Prasad Kasina,KHAMMAM,Pyramid Party of India,0,Others,,
544,Ananda Sukalal Koli,NANDURBAR (ST),BSP,0,5th Pass,"Rs 5,00,000  ~ 5 Lacs+","Rs 65,700  ~ 65 Thou+"
545,Anandaram Alias Anand Chauhan,JODHPUR,Aazad Samaj Party (Kanshi Ram),3,Literate,"Rs 4,68,500  ~ 4 Lacs+",Rs 0  ~
546,Anandbhai Pachanbhai Rathod,SURENDRANAGAR,IND,0,Graduate,,
547,Anandhakumar S,COIMBATORE,Rashtriya Samaj Paksha,0,10th Pass,"Rs 6,06,005  ~ 6 Lacs+",Rs 0  ~
548,Anandraj Yashwant Ambedkar,AMRAVATI (SC),Republican Sena,3,Post Graduate,"Rs 5,99,45,326  ~ 5 Crore+",Rs 0  ~
549,Anandrao Tukaram Thorat,HATKANANGALE,IND,2,Graduate,,
550,Anandrao Vasantrao Sarnaik,HATKANANGALE,IND,2,8th Pass,"Rs 2,14,00,000  ~ 2 Crore+","Rs 20,00,000  ~ 20 Lacs+"
551,Anant Baloji Gite,RAIGAD,IND,0,8th Pass,"Rs 4,00,768  ~ 4 Lacs+",Rs 0  ~
552,Anant Geete,RAIGAD,ShivSena (Uddhav Balasaheb Thackeray),0,10th Pass,,
553,Anant Padma Gite,RAIGAD,IND,0,8th Pass,"Rs 5,62,000  ~ 5 Lacs+",Rs 0  ~
554,Ananta Mohan Roy,SILCHAR (SC),IND,0,12th Pass,"Rs 7,31,500  ~ 7 Lacs+",Rs 0  ~
555,Ananta Nayak,KEONJHAR (ST),BJP,1,Others,,
556,Ananta Prasad Sethi,BHADRAK (SC),INC,1,Graduate,"Rs 1,08,71,000  ~ 1 Crore+",Rs 0  ~
557,Anantkumar Hasmukhbhai Patel,VALSAD (ST),INC,4,Post Graduate,"Rs 1,92,00,000  ~ 1 Crore+","Rs 12,75,000  ~ 12 Lacs+"
558,Anbazhagan. T,KARUR,IND,0,Graduate Professional,,
559,Anbazhagan.G,CHENNAI CENTRAL,IND,0,Post Graduate,"Rs 39,91,637  ~ 39 Lacs+",Rs 0  ~
560,Anbhuguru V,NILGIRIS (SC),IND,0,10th Pass,"Rs 1,40,500  ~ 1 Lacs+",Rs 0  ~
561,Anburose D,DINDIGUL,IND,0,5th Pass,,
562,Anchal Das,JAJPUR (SC),INC,0,Graduate Professional,"Rs 1,26,41,398  ~ 1 Crore+","Rs 9,85,263  ~ 9 Lacs+"
563,Ande Usha Kanna,HYDERABAD,Bahujan Mukti Party,0,Graduate,"Rs 19,08,500  ~ 19 Lacs+","Rs 2,49,000  ~ 2 Lacs+"
564,Andhalkar Bhausaheb Raosaheb,OSMANABAD,Vanchit Bahujan Aaghadi,11,Graduate,,
565,Andhari Anjaiah,MAHBUBNAGAR,IND,1,Post Graduate,"Rs 1,55,51,799  ~ 1 Crore+","Rs 32,92,443  ~ 32 Lacs+"
566,Andrapu Sudarshan,SECUNDERABAD,IND,0,Graduate,"Rs 5,000  ~ 5 Thou+",Rs 0  ~
567,Andukuri Vijaya Bhaskar,VISAKHAPATNAM,India Praja Bandhu Party,0,Graduate Professional,,
568,Aneesh Payyannur,KASARAGOD,IND,3,10th Pass,"Rs 11,93,520  ~ 11 Lacs+","Rs 1,13,000  ~ 1 Lacs+"
569,Aneesur Rahman,MAHBUBNAGAR,Bahujan Mukti Party,0,Post Graduate,"Rs 64,70,337  ~ 64 Lacs+",Rs 0  ~
570,Aneeta,BHARATPUR (SC),IND,0,Others,,
571,Angad Mahato,JAMSHEDPUR,Amra Bangalee,0,10th Pass,"Rs 35,01,000  ~ 35 Lacs+",Rs 0  ~
572,Angomcha Bimol Akoijam,INNER MANIPUR,INC,0,Doctorate,"Rs 97,67,556  ~ 97 Lacs+","Rs 34,84,121  ~ 34 Lacs+"
573,Angshudhar Mandal,MALDAHA DAKSHIN,SUCI(C),0,Graduate,,
574,Anguchamy M,DINDIGUL,IND,0,8th Pass,"Rs 39,79,703  ~ 39 Lacs+",Rs 0  ~
575,Aniket Raj,VAISHALI,Rashtriya Samaj Paksha,0,Graduate,"Rs 8,07,130  ~ 8 Lacs+","Rs 2,98,231  ~ 2 Lacs+"
576,Anil,UJJAIN (SC),IND,0,12th Pass,,
577,Anil,RAJGARH,IND,0,12th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~
578,Anil Baluni,GARHWAL,BJP,0,Graduate,"Rs 3,77,98,791  ~ 3 Crore+",Rs 0  ~
579,Anil Bhagavan Shedage,MADHA,IND,0,Graduate,,
580,Anil Chopra,JAIPUR RURAL,INC,8,Post Graduate,"Rs 4,26,91,840  ~ 4 Crore+","Rs 15,83,925  ~ 15 Lacs+"
581,Anil Das,PATALIPUTRA,Bhartiya Dalit Party,0,Literate,"Rs 59,15,000  ~ 59 Lacs+",Rs 0  ~
582,Anil Devrao Mohite,HINGOLI,Akhil Bhartiya Parivar Party,0,Post Graduate,,
583,Anil Firojiya,UJJAIN (SC),BJP,0,12th Pass,"Rs 8,81,59,766  ~ 8 Crore+","Rs 3,03,46,543  ~ 3 Crore+"
584,Anil Gawaliram Barde,DINDORI (ST),IND,0,5th Pass,"Rs 2,30,469  ~ 2 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
585,Anil Goud,MEDAK,Bharat Jodo Party,0,Graduate,,
586,Anil Jain,RAJGARH,IND,0,Post Graduate,"Rs 20,45,045  ~ 20 Lacs+","Rs 1,77,854  ~ 1 Lacs+"
587,Anil Jayram Rathod,YAVATMAL - WASHIM,Samnak Janta Party,0,Doctorate,"Rs 72,84,000  ~ 72 Lacs+","Rs 30,12,000  ~ 30 Lacs+"
588,Anil Joshi,AMRITSAR,SAD,2,12th Pass,,
589,Anil K. Ghushe,WARDHA,IND,0,12th Pass,"Rs 3,30,50,000  ~ 3 Crore+",Rs 0  ~
590,Anil K.Antony,PATHANAMTHITTA,BJP,1,Post Graduate,"Rs 1,00,14,578  ~ 1 Crore+",Rs 0  ~
591,Anil Kumar,BUXAR,BSP,6,Graduate,,
592,Anil Kumar,MIRZAPUR,Eklavya Samaj Party,0,Others,"Rs 1,20,13,508  ~ 1 Crore+","Rs 5,78,000  ~ 5 Lacs+"
593,Anil Kumar Boda,MAHABUBABAD (ST),IND,0,Post Graduate,"Rs 77,70,000  ~ 77 Lacs+","Rs 32,23,000  ~ 32 Lacs+"
594,Anil Kumar Chand,PATALIPUTRA,SUCI(C),0,Graduate,,
595,Anil Kumar Gadepaka,BHONGIR,IND,1,Others,"Rs 21,200  ~ 21 Thou+",Rs 0  ~
596,Anil Kumar Gadepaka,WARANGAL (SC),IND,1,Post Graduate,"Rs 21,200  ~ 21 Thou+",Rs 0  ~
597,Anil Kumar Gali,ZAHIRABAD,BRS,6,10th Pass,,
598,Anil Kumar Maddineni,KHAMMAM,IND,0,Post Graduate,"Rs 33,55,000  ~ 33 Lacs+","Rs 52,50,000  ~ 52 Lacs+"
599,Anil Kumar Maddineni,VIJAYAWADA,IND,0,Post Graduate,"Rs 33,55,000  ~ 33 Lacs+","Rs 52,60,000  ~ 52 Lacs+"
600,Anil Kumar Manget,SHIMLA (SC),BSP,0,Post Graduate,,
601,Anil Kumar Poluboina,NARSARAOPET,YSRCP,1,Graduate Professional,"Rs 11,06,67,086  ~ 11 Crore+","Rs 2,00,75,212  ~ 2 Crore+"
602,Anil Kumar Rawat,FAIZABAD,Rashtriya Janshakti Samaj Party,2,Post Graduate,"Rs 18,36,276  ~ 18 Lacs+","Rs 9,50,000  ~ 9 Lacs+"
603,Anil Kumar Tiwari,SHRAWASTI,IND,0,10th Pass,,
604,Anil Mahobia,RAIPUR,Right to Recall Party,0,Not Given,"Rs 2,38,24,002  ~ 2 Crore+",Rs 0  ~
605,Anil Manhar,JANJGIR-CHAMPA (SC),Hamar Raj Party,0,Graduate,"Rs 19,69,900  ~ 19 Lacs+",Rs 0  ~
606,Anil Manikrao Mudgalkar,PARBHANI,IND,0,Graduate,,
607,Anil Pitambar Wagh (Sir),RAVER,IND,0,Post Graduate,"Rs 20,37,700  ~ 20 Lacs+","Rs 8,57,311  ~ 8 Lacs+"
608,Anil Ram,GOPALGANJ (SC),IND,0,8th Pass,"Rs 42,80,000  ~ 42 Lacs+",Rs 0  ~
609,Anil Sen,HYDERABAD,IND,0,12th Pass,,
610,Anil Singh Dhurvey,SHAHDOL (ST),Gondvana Gantantra Party,0,12th Pass,"Rs 11,20,000  ~ 11 Lacs+",Rs 0  ~
611,Anil Thaware Alias Dr. Anilkumar Nagbuddha,AMRAVATI (SC),IND,2,Others,"Rs 45,90,000  ~ 45 Lacs+","Rs 5,25,000  ~ 5 Lacs+"
612,Anil Tudu,DUMKA (ST),Lokhit Adhikar Party,0,12th Pass,,
613,Anil Uikey,BETUL (ST),Bharat Adivasi Party,0,Graduate,"Rs 1,40,000  ~ 1 Lacs+","Rs 60,000  ~ 60 Thou+"
614,Anil Yeshwant Desai,MUMBAI SOUTH - CENTRAL,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate Professional,"Rs 22,94,43,731  ~ 22 Crore+","Rs 2,30,36,212  ~ 2 Crore+"
615,Anilbhai Narendrabhai Chavda,BHAVNAGAR,Swatantrata Abhivyakti Party,0,8th Pass,,
616,Anilbhai Sharma,VADODARA,Hindrashtra Sangh,0,Post Graduate,"Rs 1,05,77,131  ~ 1 Crore+","Rs 48,10,000  ~ 48 Lacs+"
617,Anilesh Mishra (Maharaj),BILASPUR,IND,0,Post Graduate,"Rs 9,25,150  ~ 9 Lacs+",Rs 0  ~
618,Anilkumar Niranjankumar Mundada,SABARKANTHA,Log Party,0,Graduate Professional,,
619,Anilkumar Vasantbhai Vaghela,AHMEDABAD WEST (SC),BSP,0,12th Pass,"Rs 40,42,043  ~ 40 Lacs+","Rs 14,50,000  ~ 14 Lacs+"
620,Anilreddy Kadthala,KARIMNAGAR,National Nava Kranthi Party,0,12th Pass,"Rs 4,42,250  ~ 4 Lacs+","Rs 1,30,239  ~ 1 Lacs+"
621,Anima Deka Gupta,KAZIRANGA,Voters Party International,0,Graduate,,
622,Anindita Jana (Das),MEDINIPUR,SUCI(C),0,Post Graduate,"Rs 34,07,621  ~ 34 Lacs+","Rs 5,17,334  ~ 5 Lacs+"
623,Aniruddh Kumar,HAZARIBAGH,CPI,2,Post Graduate,"Rs 1,63,05,948  ~ 1 Crore+","Rs 4,10,332  ~ 4 Lacs+"
624,Anis Ahmed Khan (Phool Babu),PILIBHIT,BSP,0,Graduate,,
625,Anis Arashid Sundake,PUNE,All India Majlis-E-Ittehadul Muslimeen,5,5th Pass,"Rs 47,30,658  ~ 47 Lacs+","Rs 41,83,068  ~ 41 Lacs+"
626,Anisur Rahaman Sk,DIAMOND HARBOUR,IND,0,8th Pass,"Rs 38,000  ~ 38 Thou+",Rs 0  ~
627,Anita Nagarsingh Chouhan,RATLAM (ST),BJP,0,Post Graduate,,
628,Anita Som Parkash,HOSHIARPUR (SC),BJP,0,10th Pass,"Rs 1,74,93,847  ~ 1 Crore+",Rs 0  ~
629,Anita Subhadarshini,ASKA,BJP,0,Post Graduate,"Rs 2,47,99,399  ~ 2 Crore+","Rs 10,00,000  ~ 10 Lacs+"
630,Anitha Reddy Sheelam,MALKAJGIRI,BSP,1,Post Graduate,,
631,Anjaiah Virigineni,NALGONDA,BSP,1,10th Pass,"Rs 33,77,11,383  ~ 33 Crore+","Rs 11,01,00,000  ~ 11 Crore+"
632,Anjaiah.P,THIRUPATHI (SC),Republican Party of India (A),0,12th Pass,"Rs 1,57,000  ~ 1 Lacs+",Rs 0  ~
633,Anjali Monu Rawat,GWALIOR,Parivartan Party of India,0,Post Graduate,,
634,Anjali Nimbalkar,UTTARA KANNADA,INC,1,Post Graduate,"Rs 15,78,17,912  ~ 15 Crore+","Rs 91,09,952  ~ 91 Lacs+"
635,Anjan (Babalu) Mandal,MEDINIPUR,BSP,0,Graduate,"Rs 16,23,908  ~ 16 Lacs+","Rs 60,000  ~ 60 Thou+"
636,Anjan Das,BHADRAK (SC),Ambedkarite Party of India,1,10th Pass,,
637,Anjan Goswami,BARRACKPUR,Bharatiya Nyay-Adhikar Raksha Party,0,12th Pass,"Rs 5,15,000  ~ 5 Lacs+",Rs 0  ~
638,Anjana Udailal,CHITTORGARH,INC,0,12th Pass,"Rs 1,18,73,13,315  ~ 118 Crore+","Rs 9,15,97,758  ~ 9 Crore+"
639,Anjaneyulu Neerati,CHEVELLA,IND,1,12th Pass,,
640,Anjani Ashwin Kelkar,RAIGAD,IND,0,12th Pass,"Rs 22,71,802  ~ 22 Lacs+",Rs 0  ~
641,Anjani Pandey,RANCHI,IND,0,Graduate Professional,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
642,Anjani Soren,MAYURBHANJ (ST),JMM,0,12th Pass,,
643,Anjila Jatav,BHARATPUR (SC),BSP,0,Post Graduate,"Rs 1,97,24,662  ~ 1 Crore+","Rs 39,609  ~ 39 Thou+"
644,Anjinappa Gari Sreenivasulu,HINDUPUR,Revolutionary Socialist Party,0,5th Pass,"Rs 4,22,700  ~ 4 Lacs+","Rs 1,80,000  ~ 1 Lacs+"
645,Anju Sharma,WEST DELHI,IND,0,Graduate Professional,,
646,Ankagala Praveen Kumar,CHEVELLA,IND,0,Post Graduate,"Rs 30,72,049  ~ 30 Lacs+","Rs 48,000  ~ 48 Thou+"
647,Ankit Rai,BHOPAL,IND,0,12th Pass,"Rs 99,16,000  ~ 99 Lacs+",Rs 0  ~
648,Ankit Shah,GORAKHPUR,Bharatiya Yuva Jan Ekta Party,0,Graduate,,
649,Ankur,MUZAFFARNAGAR,IND,0,Graduate,"Rs 1,01,000  ~ 1 Lacs+",Rs 0  ~
650,Ankur Sharma,JAMMU,Ekam Sanatan Bharat Dal,0,Graduate Professional,"Rs 2,67,36,567  ~ 2 Crore+","Rs 1,00,36,855  ~ 1 Crore+"
651,Ankush Dnyaneshawar Pilane,BARAMATI,IND,0,Graduate Professional,,
652,Anna Kuriakose,PALAKKAD,IND,0,Graduate,"Rs 3,19,494  ~ 3 Lacs+",Rs 0  ~
653,Anna Sukhadev Maske,SOLAPUR (SC),IND,4,Others,"Rs 31,86,500  ~ 31 Lacs+",Rs 0  ~
654,Annadurai K,KRISHNAGIRI,IND,0,Post Graduate,,
655,Annadurai N,SALEM,Pattali Makkal Katchi,2,Graduate Professional,"Rs 3,08,73,526  ~ 3 Crore+","Rs 1,36,48,790  ~ 1 Crore+"
656,Annadurai R,COIMBATORE,IND,1,Illiterate,"Rs 3,77,000  ~ 3 Lacs+",Rs 0  ~
657,"Annadurai, S. S/O Settu",TIRUVANNAMALAI,IND,0,12th Pass,,
658,"Annadurai, S. S/O Subramani",TIRUVANNAMALAI,IND,0,10th Pass,"Rs 29,51,000  ~ 29 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
659,Annamalai K,COIMBATORE,BJP,26,Post Graduate,"Rs 4,07,26,627  ~ 4 Crore+",Rs 0  ~
660,Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,,
661,Annela Laxman,MEDAK,Dharma Samaj Party,0,Graduate,"Rs 67,60,827  ~ 67 Lacs+","Rs 14,30,000  ~ 14 Lacs+"
662,Annie Raja,WAYANAD,CPI,1,Graduate,"Rs 1,61,12,844  ~ 1 Crore+",Rs 0  ~
663,Annoji Rao. G,KOPPAL,Sarva Janata Party,0,12th Pass,,
664,Annpurna Devi,KODARMA,BJP,2,Post Graduate,"Rs 12,82,82,857  ~ 12 Crore+","Rs 78,85,853  ~ 78 Lacs+"
665,Annu Tandon,UNNAO,SP,1,Graduate,"Rs 79,89,04,449  ~ 79 Crore+","Rs 12,44,50,048  ~ 12 Crore+"
666,Anokh Singh Katwal,KHADOOR SAHIB,IND,0,Not Given,,
667,Anoop Kumar Pandey,DURG,IND,1,8th Pass,"Rs 12,70,000  ~ 12 Lacs+",Rs 0  ~
668,Anoop Nagar,MORENA,IND,0,Literate,"Rs 56,58,000  ~ 56 Lacs+",Rs 0  ~
669,Anoop Pradhan Balmiki,HATHRAS (SC),BJP,1,12th Pass,,
670,Anoop Singh,SONIPAT,Indian National Lok Dal,0,Graduate,"Rs 8,17,66,810  ~ 8 Crore+","Rs 9,99,172  ~ 9 Lacs+"
671,Anoop V.,PATHANAMTHITTA,IND,0,12th Pass,"Rs 1,26,819  ~ 1 Lacs+",Rs 0  ~
672,Anose Katkoori,KARIMNAGAR,IND,0,10th Pass,,
673,Anshay Kalra,KHERI,BSP,2,10th Pass,"Rs 8,32,38,839  ~ 8 Crore+","Rs 30,00,000  ~ 30 Lacs+"
674,Anshu Kumar,UJIARPUR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2,Graduate,"Rs 8,80,000  ~ 8 Lacs+",Rs 0  ~
675,Anshul Avijit,PATNA SAHIB,INC,0,Doctorate,,
676,Anshuman Mohanty,KENDRAPARA,BJD,0,Graduate Professional,"Rs 5,12,96,234  ~ 5 Crore+","Rs 50,00,000  ~ 50 Lacs+"
677,Anson Thomas,MUMBAI NORTH - CENTRAL,Peoples Party of India(secular),0,Post Graduate,"Rs 4,24,43,412  ~ 4 Crore+","Rs 91,394  ~ 91 Thou+"
678,Ansul Gupta,GHAZIABAD,Rashtriya Jan Karmath Party,0,Post Graduate,,
679,Anta Alok Baskey,MAYURBHANJ (ST),AJSU Party,0,Graduate,"Rs 28,76,000  ~ 28 Lacs+","Rs 19,00,000  ~ 19 Lacs+"
680,Anta Hansda,BALURGHAT,BSP,0,Graduate Professional,"Rs 31,01,603  ~ 31 Lacs+","Rs 13,10,000  ~ 13 Lacs+"
681,Anthoni Suresh,KHAMMAM,Bahujana Left Party,0,10th Pass,,
682,Anthosh Savvase,BAGALKOT,Uttama Prajaakeeya Party,0,Graduate,"Rs 7,23,147  ~ 7 Lacs+",Rs 0  ~
683,Anto Antony,PATHANAMTHITTA,INC,5,Graduate,"Rs 1,24,71,856  ~ 1 Crore+","Rs 1,56,73,065  ~ 1 Crore+"
684,Antony Michael J,KANNIYAKUMARI,IND,0,Graduate,,
685,Anuj Swaroop Shukla,ALLAHABAD,IND,0,Graduate Professional,"Rs 9,74,500  ~ 9 Lacs+",Rs 0  ~
686,Anuj Varshney,SAMBHAL,IND,0,Graduate Professional,"Rs 10,94,259  ~ 10 Lacs+","Rs 2,60,000  ~ 2 Lacs+"
687,Anujit Kumar Nan,KOLKATA UTTAR,IND,0,Graduate,,
688,Anup Kumar,GODDA,"Proutist Bloc, India",0,Post Graduate,"Rs 19,13,136  ~ 19 Lacs+","Rs 53,000  ~ 53 Thou+"
689,Anup Sanjay Dhotre,AKOLA,BJP,1,Graduate,"Rs 10,92,59,962  ~ 10 Crore+","Rs 3,72,01,641  ~ 3 Crore+"
690,Anupam Baruah,NAGAON,Jai Prakash Janata Dal,0,Graduate,,
691,Anupam Kumar,ETAH,Kisan Kranti Dal,0,Post Graduate,"Rs 2,16,558  ~ 2 Lacs+",Rs 0  ~
692,Anupam Kumar Tripathi,HAMIRPUR,Bhartiya Shakti Chetna Party,0,Graduate,"Rs 44,72,755  ~ 44 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
693,Anupama Singh,DHANBAD,INC,0,12th Pass,,
694,Anupriya Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,"Rs 4,22,41,754  ~ 4 Crore+","Rs 98,05,603  ~ 98 Lacs+"
695,Anurag Arot,BHILWARA,IND,0,Post Graduate,"Rs 9,75,000  ~ 9 Lacs+",Rs 0  ~
696,Anurag Sharma,JHANSI,BJP,0,Post Graduate,,
697,Anurag Singh Thakur,HAMIRPUR,BJP,1,Graduate,"Rs 12,26,63,406  ~ 12 Crore+","Rs 1,43,74,994  ~ 1 Crore+"
698,Anusha Yeruva,MACHILIPATNAM,IND,0,Graduate,"Rs 11,75,000  ~ 11 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
699,Anwar,GURGAON,Social Democratic Party Of India,0,12th Pass,,
700,Anwar Noormamad Sanghar,JAMNAGAR,IND,0,8th Pass,"Rs 22,16,254  ~ 22 Lacs+",Rs 0  ~
701,Anwar Raice,KHAMMAM,Socialist Party (India),0,Post Graduate,"Rs 53,64,000  ~ 53 Lacs+",Rs 0  ~
702,Anwarul Hoque,RAIGANJ,IND,0,12th Pass,,
703,Aparajita Sarangi,BHUBANESWAR,BJP,1,Graduate,"Rs 4,62,54,213  ~ 4 Crore+",Rs 0  ~
704,Appala Raju Nammi,ANAKAPALLE,Bharatha Chaitanya Yuvajana Party,3,5th Pass,"Rs 4,78,10,500  ~ 4 Crore+","Rs 86,00,000  ~ 86 Lacs+"
705,Appalanaidu Kalisetti,VIZIANAGARAM,TDP,0,Graduate Professional,,
706,Appalanaidu Tummagunta,ANAKAPALLE,IND,0,Graduate,"Rs 38,10,350  ~ 38 Lacs+","Rs 25,22,737  ~ 25 Lacs+"
707,Appalanarasa Pachipenta,ARAKU (ST),CPI(M),4,Post Graduate,"Rs 29,25,792  ~ 29 Lacs+","Rs 2,43,125  ~ 2 Lacs+"
708,Apparao Enneti,MACHILIPATNAM,IND,0,Graduate,,
709,Apparao Konda,MALKAJGIRI,Rashtra Samanya Praja Party,0,12th Pass,"Rs 70,35,935  ~ 70 Lacs+","Rs 33,00,000  ~ 33 Lacs+"
710,Appasaheb Omkar Kadam,PARBHANI,IND,1,Others,"Rs 2,72,70,000  ~ 2 Crore+","Rs 53,00,000  ~ 53 Lacs+"
711,Appasaheb Shripati Kurane,CHIKKODI,Sarva Janata Party,0,12th Pass,,
712,Ar Nena Prem Ready Ripeeka,WARANGAL (SC),Mana Telangana Rashtra Samaikya Party,0,Graduate,"Rs 2,93,00,000  ~ 2 Crore+","Rs 95,00,000  ~ 95 Lacs+"
713,Aradadi Posiyya,PUDUCHERRY,IND,3,Others,"Rs 5,56,000  ~ 5 Lacs+","Rs 3,51,920  ~ 3 Lacs+"
714,Aram Singh,AGRA (SC),Peoples Party of India (Democratic),0,5th Pass,,
715,Aramukhan,KOZHIKODE,BSP,0,Graduate,"Rs 2,04,99,000  ~ 2 Crore+",Rs 0  ~
716,Arasan. K,VILUPPURAM (SC),IND,0,Illiterate,"Rs 1,74,366  ~ 1 Lacs+",Rs 0  ~
717,Aravind Gowda,UTTARA KANNADA,IND,0,Graduate,,
718,Aravindakshan Nair M. K.,KOZHIKODE,Bharatheeya Jawan Kisan Party,0,Graduate,"Rs 27,86,931  ~ 27 Lacs+",Rs 0  ~
719,Archana Dinkar Gaikwad,THANE,IND,0,10th Pass,"Rs 2,32,000  ~ 2 Lacs+",Rs 0  ~
720,Archana Kumari,JAMUI (SC),RJD,1,Post Graduate,,
721,Archana Ranajagjitsinh Patil,OSMANABAD,NCP,0,Graduate Professional,"Rs 45,76,39,499  ~ 45 Crore+","Rs 6,45,16,577  ~ 6 Crore+"
722,Archana Singh Rathore,GWALIOR,Rashtriya Samaj Paksha,0,Graduate,"Rs 27,72,853  ~ 27 Lacs+",Rs 0  ~
723,Archana Urang,TRIPURA EAST (ST),IND,0,8th Pass,,
724,Archunan M A T,CHIDAMBARAM (SC),IND,0,Post Graduate,"Rs 33,82,000  ~ 33 Lacs+",Rs 0  ~
725,Are Rajendhar,NIZAMABAD,IND,0,Graduate,"Rs 1,28,23,000  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+"
726,Arit Karak,ULUBERIA,IND,0,12th Pass,,
727,Arjun (Dada) Salgar,OSMANABAD,IND,6,10th Pass,"Rs 4,82,000  ~ 4 Lacs+","Rs 19,00,000  ~ 19 Lacs+"
728,Arjun Ashok Bhalavi,BETUL (ST),BSP,0,10th Pass,"Rs 51,05,800  ~ 51 Lacs+",Rs 0  ~
729,Arjun Dnyanoba Bhise,PARBHANI,IND,0,12th Pass,,
730,Arjun Indwar,ALIPURDUARS (ST),IND,0,Graduate,"Rs 74,02,202  ~ 74 Lacs+",Rs 0  ~
